Doc No,SubTotal,Total,Invoice Vendor No,Invoice Vendor Date Format (YYYY-MM-DD),Payment Date Format (YYYY-MM-DD),UUID,Remarks
OPRC-DLV0001830,137.84,159.89,,,,,
OPRC-DLV0001831,150.69,174.8,,,,,
OPRC-DLV0001832,214.94,249.33,,,,,
OPRC-DLV0001833,189.24,219.52,,,,,
OPRC-DLV0001834,258.58,299.95,,,,,
OPRC-DLV0001835,137.84,159.89,,,,,
OPRC-DLV0001836,137.84,159.89,,,,,
OPRC-DLV0001837,150.69,174.8,,,,,
OPRC-DLV0001838,137.84,159.89,,,,,
OPRC-DLV0001839,189.24,219.52,,,,,
OPRC-DLV0001840,189.24,219.52,,,,,
OPRC-DLV0001841,266.34,308.95,,,,,
OPRC-DLV0001842,176.39,204.61,,,,,
OPRC-DLV0001843,150.69,174.8,,,,,
OPRC-DLV0001844,202.09,234.42,,,,,
OPRC-DLV0001845,150.69,174.8,,,,,
OPRC-DLV0001846,258.58,299.95,,,,,
OPRC-DLV0001847,214.94,249.33,,,,,
OPRC-DLV0001848,150.69,174.8,,,,,
OPRC-DLV0001849,163.54,189.71,,,,,
OPRC-DLV0001850,176.39,204.61,,,,,
OPRC-DLV0001851,214.94,249.33,,,,,
OPRC-DLV0001852,227.79,264.24,,,,,
OPRC-DLV0001853,292.04,338.77,,,,,
OPRC-DLV0001854,137.84,159.89,,,,,
OPRC-DLV0001855,137.84,159.89,,,,,
OPRC-DLV0001856,137.84,159.89,,,,,
OPRC-DLV0001857,163.54,189.71,,,,,
OPRC-DLV0001858,549.04,636.89,,,,,
OPRC-DLV0001859,400.33,464.38,,,,,
OPRC-DLV0001860,137.84,159.89,,,,,
OPRC-DLV0001861,176.39,204.61,,,,,
OPRC-DLV0001862,214.94,249.33,,,,,
OPRC-DLV0001863,137.84,159.89,,,,,
OPRC-DLV0001864,150.69,174.8,,,,,
OPRC-DLV0001865,227.79,264.24,,,,,
OPRC-DLV0001866,172.29,199.86,,,,,
OPRC-DLV0001867,137.84,159.89,,,,,
OPRC-DLV0001868,317.74,368.58,,,,,
OPRC-DLV0001869,137.84,159.89,,,,,
OPRC-DLV0001870,137.84,159.89,,,,,
OPRC-DLV0001871,214.94,249.33,,,,,
OPRC-DLV0001872,214.94,249.33,,,,,
OPRC-DLV0001873,137.84,159.89,,,,,
OPRC-DLV0001874,137.84,159.89,,,,,
OPRC-DLV0001875,202.09,234.42,,,,,
OPRC-DLV0001876,310.09,359.7,,,,,
OPRC-DLV0001877,150.69,174.8,,,,,
OPRC-DLV0001878,137.84,159.89,,,,,
OPRC-DLV0001879,137.84,159.89,,,,,
OPRC-DLV0001880,189.24,219.52,,,,,
OPRC-DLV0001881,266.34,308.95,,,,,
OPRC-DLV0001882,172.29,199.86,,,,,
OPRC-DLV0001883,137.84,159.89,,,,,
OPRC-DLV0001884,163.54,189.71,,,,,
OPRC-DLV0001885,163.54,189.71,,,,,
OPRC-DLV0001886,202.09,234.42,,,,,
OPRC-DLV0001887,238.97,277.21,,,,,
OPRC-DLV0001888,460.28,533.925,,,,,
OPRC-DLV0001889,600.89,697.03,,,,,
OPRC-DLV0001890,2431.28,2820.28,,,,,
OPRC-DLV0001891,435.69,505.4,,,,,
OPRC-DLV0001899,319.4,370.5,,,,,
OPRC-DLV0001905,492.67,492.67,,,,,
OPRC-DLV0001907,170.5,191.76,,,,,
OPRC-DLV0001908,481.7,540.3,,,,,
OPRC-DLV0001909,149.5,168.24,,,,,
OPRC-DLV0001913,853.08,966.15,,,,,
OPRC-DLV0001923,833.7,933.74,,,,,
OPRC-DLV0001945,775.34,878.11,,,,,
OPRC-DLV0001947,280.67,280.67,,,,,
OPRC-DLV0001951,1051.66,1181.01,,,,,
OPRC-DLV0001952,552.46,618.76,,,,,
OPRC-DLV0001993,666.96,746.99,,,,,
OPRC-DLV0001994,700,792,,,,,
OPRC-DLV0002015,862.89,1000.95,,,,,
OPRC-DLV0002016,157.2,182.35,,,,,
OPRC-DLV0002021,94.28,109.36,,,,,
OPRC-DLV0002022,165,191.4,,,,,
OPRC-DLV0002025,151.76,170.77,,,,,
OPRC-DLV0002026,392.75,455.59,,,,,
OPRC-DLV0002068,155.22,180.06,,,,,
OPRC-DLV0002070,379.5,415.5,,,,,
OPRC-DLV0002071,366.83,425.52,,,,,
OPRC-DLV0002112,1224.28,1420.16,,,,,
OPRC-DLV0002131,274.68,318.86,,,,,
OPRC-DLV0002132,170.5,191.76,,,,,
OPRC-DLV0002135,347,388.64,,,,,
OPRC-DLV0002139,94.28,109.38,,,,,
OPRC-DLV0002143,392.75,455.59,,,,,
OPRC-DLV0002150,296.61,332.61,,,,,
OPRC-DLV0002152,137.78,137.78,,,,,
OPRC-DLV0002156,215.21,250.8,,,,,
OPRC-DLV0002170,469,531.68,,,,,
OPRC-DLV0002172,279.73,324.49,,,,,
OPRC-DLV0002173,370.9,415.8,,,,,
OPRC-DLV0002202,163.54,189.706,,,,,
OPRC-DLV0002203,137.84,159.894,,,,,
OPRC-DLV0002204,176.39,204.612,,,,,
OPRC-DLV0002205,400.33,464.383,,,,,
OPRC-DLV0002206,150.69,174.8,,,,,
OPRC-DLV0002207,137.84,159.894,,,,,
OPRC-DLV0002208,176.39,204.612,,,,,
OPRC-DLV0002209,263.56,305.73,,,,,
OPRC-DLV0002210,361.92,419.827,,,,,
OPRC-DLV0002211,238.97,277.205,,,,,
OPRC-DLV0002212,137.84,159.894,,,,,
OPRC-DLV0002213,150.69,174.8,,,,,
OPRC-DLV0002214,202.09,234.424,,,,,
OPRC-DLV0002215,137.84,159.894,,,,,
OPRC-DLV0002216,176.39,204.612,,,,,
OPRC-DLV0002217,137.84,159.894,,,,,
OPRC-DLV0002218,137.84,159.894,,,,,
OPRC-DLV0002219,202.09,234.424,,,,,
OPRC-DLV0002220,137.84,159.894,,,,,
OPRC-DLV0002221,137.84,159.894,,,,,
OPRC-DLV0002222,420.54,487.83,,,,,
OPRC-DLV0002223,172.29,199.856,,,,,
OPRC-DLV0002224,189.24,219.518,,,,,
OPRC-DLV0002225,137.84,159.894,,,,,
OPRC-DLV0002226,202.09,234.424,,,,,
OPRC-DLV0002227,137.84,159.894,,,,,
OPRC-DLV0002228,163.54,189.706,,,,,
OPRC-DLV0002229,137.84,159.894,,,,,
OPRC-DLV0002230,137.84,159.894,,,,,
OPRC-DLV0002231,137.84,159.894,,,,,
OPRC-DLV0002232,176.39,204.612,,,,,
OPRC-DLV0002233,176.39,204.612,,,,,
OPRC-DLV0002234,314.63,364.971,,,,,
OPRC-DLV0002235,137.84,159.894,,,,,
OPRC-DLV0002236,137.84,159.894,,,,,
OPRC-DLV0002237,150.69,174.8,,,,,
OPRC-DLV0002238,150.69,174.8,,,,,
OPRC-DLV0002239,137.84,159.894,,,,,
OPRC-DLV0002240,253.49,294.048,,,,,
OPRC-DLV0002241,150.69,174.8,,,,,
OPRC-DLV0002242,433.39,502.732,,,,,
OPRC-DLV0002243,137.84,159.894,,,,,
OPRC-DLV0002244,433.39,502.732,,,,,
OPRC-DLV0002245,150.69,174.8,,,,,
OPRC-DLV0002246,137.84,159.894,,,,,
OPRC-DLV0002247,137.84,159.894,,,,,
OPRC-DLV0002248,172.29,199.86,,,,,
OPRC-DLV0002249,238.97,277.205,,,,,
OPRC-DLV0002250,163.54,189.706,,,,,
OPRC-DLV0002251,137.84,159.894,,,,,
OPRC-DLV0002252,137.84,159.894,,,,,
OPRC-DLV0002253,266.34,308.954,,,,,
OPRC-DLV0002254,150.69,174.8,,,,,
OPRC-DLV0002255,137.84,159.894,,,,,
OPRC-DLV0002256,163.54,189.706,,,,,
OPRC-DLV0002257,189.24,219.518,,,,,
OPRC-DLV0002258,292.04,338.766,,,,,
OPRC-DLV0002259,202.09,234.424,,,,,
OPRC-DLV0002260,369.14,428.202,,,,,
OPRC-DLV0002261,253.49,294.048,,,,,
OPRC-DLV0002262,279.19,323.86,,,,,
OPRC-DLV0002263,163.54,189.706,,,,,
OPRC-DLV0002264,202.09,234.424,,,,,
OPRC-DLV0002265,317.74,368.578,,,,,
OPRC-DLV0002266,137.84,159.894,,,,,
OPRC-DLV0002267,317.74,368.578,,,,,
OPRC-DLV0002268,163.54,189.706,,,,,
OPRC-DLV0002269,214.94,249.33,,,,,
OPRC-DLV0002270,150.69,174.8,,,,,
OPRC-DLV0002271,150.69,174.8,,,,,
OPRC-DLV0002272,137.84,159.894,,,,,
OPRC-DLV0002273,176.39,204.612,,,,,
OPRC-DLV0002274,163.54,189.706,,,,,
OPRC-DLV0002275,189.24,219.518,,,,,
OPRC-DLV0002276,378.99,439.628,,,,,
OPRC-DLV0002277,292.04,338.766,,,,,
OPRC-DLV0002278,163.54,189.706,,,,,
OPRC-DLV0002279,150.69,174.8,,,,,
OPRC-DLV0002280,176.39,204.612,,,,,
OPRC-DLV0002281,137.84,159.894,,,,,
OPRC-DLV0002282,558.64,648.022,,,,,
OPRC-DLV0002283,1307.07,1516.2,,,,,
OPRC-DLV0002284,361.92,419.827,,,,,
OPRC-DLV0002285,1043.51,1210.47,,,,,
OPRC-DLV0002286,1552.97,1801.45,,,,,
OPRC-DLV0002287,337.33,391.303,,,,,
OPRC-DLV0002288,312.74,362.778,,,,,
OPRC-DLV0002292,212,212,,,,,
OPRC-DLV0002295,1320.01,1478.41,,,,,
OPRC-DLV0002299,322.49,322.49,,,,,
OPRC-DLV0002302,414.6,464.76,,,,,
OPRC-DLV0002317,1704.39,1977.09,,,,,
OPRC-DLV0002325,170.5,191.76,,,,,
OPRC-DLV0002328,1320.01,1478.41,,,,,
OPRC-DLV0002332,469.32,544.41,,,,,
OPRC-DLV0002340,1330,1491.6,,,,,
OPRC-DLV0002345,310,347.2,,,,,
OPRC-DLV0002348,301.95,338.19,,,,,
OPRC-DLV0002352,209.83,243.4,,,,,
OPRC-DLV0002353,1268,1420.16,,,,,
OPRC-DLV0002354,252.65,283.36,,,,,
OPRC-DLV0002356,366.83,425.52,,,,,
OPRC-DLV0002357,948.97,1100.81,,,,,
OPRC-DLV0002363,327.2,366.86,,,,,
OPRC-DLV0002379,159.32,184.81,,,,,
OPRC-DLV0002396,165,191.4,,,,,
OPRC-DLV0002401,413.4,479.54,,,,,
OPRC-DLV0002405,170.5,191.76,,,,,
OPRC-DLV0002406,263.47,305.63,,,,,
OPRC-DLV0002421,576,647.84,,,,,
OPRC-DLV0002422,1268,1420.16,,,,,
OPRC-DLV0002423,94.26,109.36,,,,,
OPRC-DLV0002424,1667.06,1924.13,,,,,
OPRC-DLV0002425,215.95,250.5,,,,,
OPRC-DLV0002450,261.39,293.15,,,,,
OPRC-DLV0002451,291.1,337.68,,,,,
OPRC-DLV0002455,263.95,306.18,,,,,
OPRC-DLV0002456,385.828,447.56,,,,,
OPRC-DLV0002475,300,336.8,,,,,
OPRC-DLV0002539,330,382.8,,,,,
OPRC-DLV0002541,1640,1849.4,,,,,
OPRC-DLV0002560,94.28,109.36,,,,,
OPRC-DLV0002564,489.276,567.56,,,,,
OPRC-DLV0002590,274.5,307.84,,,,,
OPRC-DLV0002593,1700.1,1932.48,,,,,
OPRC-DLV0002606,282.56,327.77,,,,,
OPRC-DLV0002607,370.9,415.8,,,,,
OPRC-DLV0002609,625,706.4,,,,,
OPRC-DLV0002610,523.32,607.05,,,,,
OPRC-DLV0002615,149.5,178.24,,,,,
OPRC-DLV0002622,1320.01,1478.41,,,,,
OPRC-DLV0002629,363.53,408.35,,,,,
OPRC-DLV0002630,170.54,2191.76,,,,,
OPRC-DLV0002634,239.54,268.69,,,,,
OPRC-DLV0002637,2166,2442.02,,,,,
OPRC-DLV0002639,334,374.08,,,,,
OPRC-DLV0002640,5142.51,5759.62,,,,,
OPRC-DLV0002650,3089.78,3460.56,,,,,
OPRC-DLV0002655,2005.73,2246.42,,,,,
OPRC-DLV0002656,2605,2936.64,,,,,
OPRC-DLV0002657,918.54,1028.77,,,,,
OPRC-DLV0002658,3336.34,3336.34,,,,,
OPRC-DLV0002659,541,605.92,,,,,
OPRC-DLV0002660,302,344.64,,,,,
OPRC-DLV0002672,214.94,249.33,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002673,163.54,189.71,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002674,202.09,234.42,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002675,292.04,338.77,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002676,317.74,368.58,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002677,202.09,234.42,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002678,214.94,249.33,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002679,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002680,150.69,174.8,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002681,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002682,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002683,176.39,204.61,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002684,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002685,163.54,189.71,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002686,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002687,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002688,150.69,174.8,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002689,150.69,174.8,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002690,163.54,189.71,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002691,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002692,189.24,219.52,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002693,258.58,299.95,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002694,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002695,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002696,163.54,189.71,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002697,150.69,174.8,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002698,227.79,264.24,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002699,150.69,174.8,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002700,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002701,202.09,234.42,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002702,150.69,174.8,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002703,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002704,163.54,189.71,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002705,163.54,189.71,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002706,163.54,189.71,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002707,150.69,174.8,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002708,288.15,334.25,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002709,150.69,174.8,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002710,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002711,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002712,163.54,189.71,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002713,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002714,176.39,204.61,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002715,150.69,174.8,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002716,150.69,174.8,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002717,165.2,191.63,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002718,150.69,174.8,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002719,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002720,202.09,234.42,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002721,176.39,204.61,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002722,227.79,264.24,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002723,163.54,189.71,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002724,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002725,163.54,189.71,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002726,275.64,319.74,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002727,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002728,245.73,285.05,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002729,245.73,285.05,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002730,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002731,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002732,137.84,159.89,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002733,266.34,308.95,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
OPRC-DLV0002734,381.99,443.11,CFDA9610029143,,,27B77A4E-2071-41F9-9EAE-C9D76E5BEA3B,
